date,location,desks_total,desks_open,hours_open
2025-08-11,Riyadh - Digital City,115,108,13
2025-08-11,Jeddah - Corniche,95,84,12
2025-08-11,Dammam - Waterfront,106,98,12
2025-08-12,Riyadh - Olaya,98,87,13
2025-08-12,Riyadh - Digital City,117,102,14
2025-08-12,Jeddah - Corniche,95,86,11
2025-08-12,Dammam - Waterfront,106,94,12
2025-08-13,Riyadh - Olaya,96,86,13
2025-08-13,Riyadh - Digital City,115,104,14
2025-08-13,Jeddah - Corniche,95,84,12
2025-08-13,Dammam - Waterfront,108,94,12
2025-08-14,Riyadh - Olaya,96,89,12
2025-08-14,Riyadh - Digital City,115,102,13
2025-08-14,Jeddah - Corniche,94,86,11
2025-08-14,Dammam - Waterfront,107,95,12
2025-08-15,Riyadh - Olaya,97,89,12
2025-08-15,Riyadh - Digital City,115,103,13
2025-08-15,Jeddah - Corniche,95,83,11
2025-08-15,Dammam - Waterfront,107,98,12
2025-08-16,Riyadh - Olaya,96,89,13
2025-08-16,Riyadh - Digital City,116,103,14
2025-08-16,Jeddah - Corniche,95,88,11
2025-08-16,Dammam - Waterfront,107,97,12
2025-08-17,Riyadh - Olaya,97,89,13
2025-08-17,Riyadh - Digital City,116,104,13
2025-08-17,Jeddah - Corniche,97,82,11
2025-08-17,Dammam - Waterfront,106,95,12
2025-08-18,Riyadh - Olaya,99,88,12
2025-08-18,Riyadh - Digital City,116,105,13
2025-08-18,Jeddah - Corniche,97,86,11
2025-08-18,Dammam - Waterfront,106,95,13
2025-08-19,Riyadh - Olaya,98,89,12
2025-08-19,Riyadh - Digital City,116,108,13
2025-08-19,Jeddah - Corniche,95,82,11
2025-08-19,Dammam - Waterfront,107,94,12
2025-08-20,Riyadh - Olaya,98,84,12
2025-08-20,Riyadh - Digital City,116,104,14
2025-08-20,Jeddah - Corniche,95,85,12
2025-08-20,Dammam - Waterfront,107,94,13
2025-08-21,Riyadh - Olaya,98,87,12
2025-08-21,Riyadh - Digital City,116,107,13
2025-08-21,Jeddah - Corniche,95,85,11
2025-08-21,Dammam - Waterfront,107,97,13
2025-08-22,Riyadh - Olaya,98,88,12
2025-08-22,Riyadh - Digital City,116,102,13
2025-08-22,Jeddah - Corniche,95,87,11
2025-08-22,Dammam - Waterfront,105,99,12
2025-08-23,Riyadh - Olaya,99,86,12
2025-08-23,Riyadh - Digital City,115,107,13
2025-08-23,Jeddah - Corniche,96,87,11
2025-08-23,Dammam - Waterfront,106,95,12
2025-08-24,Riyadh - Olaya,98,86,12
2025-08-24,Riyadh - Digital City,117,104,14
2025-08-24,Jeddah - Corniche,96,83,11
2025-08-24,Dammam - Waterfront,106,94,13
2025-08-25,Riyadh - Olaya,97,84,12
2025-08-25,Riyadh - Digital City,115,104,13
2025-08-25,Jeddah - Corniche,95,85,12
2025-08-25,Dammam - Waterfront,108,97,12
2025-08-26,Riyadh - Olaya,98,87,13
2025-08-26,Riyadh - Digital City,117,105,14
2025-08-26,Jeddah - Corniche,94,85,12
2025-08-26,Dammam - Waterfront,107,97,12
2025-08-27,Riyadh - Olaya,98,88,12
2025-08-27,Riyadh - Digital City,114,103,13
2025-08-27,Jeddah - Corniche,96,87,12
2025-08-27,Dammam - Waterfront,108,97,12
2025-08-28,Riyadh - Olaya,98,86,13
2025-08-28,Riyadh - Digital City,114,103,13
2025-08-28,Jeddah - Corniche,95,85,11
2025-08-28,Dammam - Waterfront,106,98,12
2025-08-29,Riyadh - Olaya,99,88,13
2025-08-29,Riyadh - Digital City,114,104,13
2025-08-29,Jeddah - Corniche,96,86,11
2025-08-29,Dammam - Waterfront,105,94,13
2025-08-30,Riyadh - Olaya,97,85,13
2025-08-30,Riyadh - Digital City,116,107,14
2025-08-30,Jeddah - Corniche,97,87,12
2025-08-30,Dammam - Waterfront,106,93,12
2025-08-31,Riyadh - Olaya,96,89,13
2025-08-31,Riyadh - Digital City,114,103,13
2025-08-31,Jeddah - Corniche,96,86,11
2025-08-31,Dammam - Waterfront,106,97,12
2025-09-01,Riyadh - Olaya,98,87,12
2025-09-01,Riyadh - Digital City,114,107,14
2025-09-01,Jeddah - Corniche,95,85,12
2025-09-01,Dammam - Waterfront,106,95,13
2025-09-02,Riyadh - Olaya,97,86,13
2025-09-02,Riyadh - Digital City,114,104,13
2025-09-02,Jeddah - Corniche,96,82,12
2025-09-02,Dammam - Waterfront,106,98,12
2025-09-03,Riyadh - Olaya,98,90,13
2025-09-03,Riyadh - Digital City,116,105,13
2025-09-03,Jeddah - Corniche,94,85,11
2025-09-03,Dammam - Waterfront,107,94,13
2025-09-04,Riyadh - Olaya,98,87,13
2025-09-04,Riyadh - Digital City,116,103,14
2025-09-04,Jeddah - Corniche,96,84,11
2025-09-04,Dammam - Waterfront,106,98,12
2025-09-05,Riyadh - Olaya,96,86,13
2025-09-05,Riyadh - Digital City,115,104,14
2025-09-05,Jeddah - Corniche,95,87,12
2025-09-05,Dammam - Waterfront,105,94,12
2025-09-06,Riyadh - Olaya,97,85,13
2025-09-06,Riyadh - Digital City,117,104,13
2025-09-06,Jeddah - Corniche,97,86,12
2025-09-06,Dammam - Waterfront,106,94,13
2025-09-07,Riyadh - Olaya,99,88,13
2025-09-07,Riyadh - Digital City,114,103,14
2025-09-07,Jeddah - Corniche,95,83,11
2025-09-07,Dammam - Waterfront,105,94,12
2025-09-08,Riyadh - Olaya,98,85,13
2025-09-08,Riyadh - Digital City,115,103,14
2025-09-08,Jeddah - Corniche,96,83,11
2025-09-08,Dammam - Waterfront,108,97,13
2025-09-09,Riyadh - Olaya,96,89,13
2025-09-09,Riyadh - Digital City,115,106,14
2025-09-09,Jeddah - Corniche,94,85,11
2025-09-09,Dammam - Waterfront,107,96,12
2025-09-10,Riyadh - Olaya,99,89,13
2025-09-10,Riyadh - Digital City,116,104,13
2025-09-10,Jeddah - Corniche,95,85,12
2025-09-10,Dammam - Waterfront,105,95,12
2025-09-11,Riyadh - Olaya,99,85,12
2025-09-11,Riyadh - Digital City,115,104,14
2025-09-11,Jeddah - Corniche,96,83,12
2025-09-11,Dammam - Waterfront,107,95,13
2025-09-12,Riyadh - Olaya,97,87,12
2025-09-12,Riyadh - Digital City,116,103,14
2025-09-12,Jeddah - Corniche,95,84,11
2025-09-12,Dammam - Waterfront,106,94,12
2025-09-13,Riyadh - Olaya,97,89,12
2025-09-13,Riyadh - Digital City,114,102,13
2025-09-13,Jeddah - Corniche,96,88,12
2025-09-13,Dammam - Waterfront,106,96,13
2025-09-14,Riyadh - Olaya,98,90,13
2025-09-14,Riyadh - Digital City,115,107,14
2025-09-14,Jeddah - Corniche,96,83,11
2025-09-14,Dammam - Waterfront,106,97,13
2025-09-15,Riyadh - Olaya,96,86,12
2025-09-15,Riyadh - Digital City,116,104,14
2025-09-15,Jeddah - Corniche,95,86,12
2025-09-15,Dammam - Waterfront,107,98,12
2025-09-16,Riyadh - Olaya,99,89,12
2025-09-16,Riyadh - Digital City,116,105,14
2025-09-16,Jeddah - Corniche,97,86,12
2025-09-16,Dammam - Waterfront,106,93,12
2025-09-17,Riyadh - Olaya,96,87,12
2025-09-17,Riyadh - Digital City,116,105,13
2025-09-17,Jeddah - Corniche,95,86,12
2025-09-17,Dammam - Waterfront,105,98,12
2025-09-18,Riyadh - Olaya,96,85,13
2025-09-18,Riyadh - Digital City,117,105,14
2025-09-18,Jeddah - Corniche,96,84,12
2025-09-18,Dammam - Waterfront,107,97,12
2025-09-19,Riyadh - Olaya,98,89,13
2025-09-19,Riyadh - Digital City,115,103,14
2025-09-19,Jeddah - Corniche,97,86,11
2025-09-19,Dammam - Waterfront,108,98,13
2025-09-20,Riyadh - Olaya,99,90,12
2025-09-20,Riyadh - Digital City,114,107,14
2025-09-20,Jeddah - Corniche,96,83,11
2025-09-20,Dammam - Waterfront,106,94,12
2025-09-21,Riyadh - Olaya,98,87,12
2025-09-21,Riyadh - Digital City,116,104,14
2025-09-21,Jeddah - Corniche,94,84,11
2025-09-21,Dammam - Waterfront,107,98,13
2025-09-22,Riyadh - Olaya,98,84,12
2025-09-22,Riyadh - Digital City,114,107,14
2025-09-22,Jeddah - Corniche,96,87,11
2025-09-22,Dammam - Waterfront,106,96,13
2025-09-23,Riyadh - Olaya,96,84,13
2025-09-23,Riyadh - Digital City,116,108,13
2025-09-23,Jeddah - Corniche,95,87,11
2025-09-23,Dammam - Waterfront,105,95,13
2025-09-24,Riyadh - Olaya,99,89,12
2025-09-24,Riyadh - Digital City,117,106,14
2025-09-24,Jeddah - Corniche,95,83,12
2025-09-24,Dammam - Waterfront,105,95,13
2025-09-25,Riyadh - Olaya,99,89,13
2025-09-25,Riyadh - Digital City,115,104,14
2025-09-25,Jeddah - Corniche,95,86,12
2025-09-25,Dammam - Waterfront,108,94,12
2025-09-26,Riyadh - Olaya,98,87,13
2025-09-26,Riyadh - Digital City,114,108,14
2025-09-26,Jeddah - Corniche,96,84,12
2025-09-26,Dammam - Waterfront,108,94,13
2025-09-27,Riyadh - Olaya,99,90,12
2025-09-27,Riyadh - Digital City,116,107,14
2025-09-27,Jeddah - Corniche,94,83,11
2025-09-27,Dammam - Waterfront,105,94,12
2025-09-28,Riyadh - Olaya,98,87,12
2025-09-28,Riyadh - Digital City,114,108,13
2025-09-28,Jeddah - Corniche,96,87,11
2025-09-28,Dammam - Waterfront,108,99,13
2025-09-29,Riyadh - Olaya,99,85,13
2025-09-29,Riyadh - Digital City,117,108,14
2025-09-29,Jeddah - Corniche,94,83,11
2025-09-29,Dammam - Waterfront,108,96,13
2025-09-30,Riyadh - Olaya,99,85,13
2025-09-30,Riyadh - Digital City,115,107,13
2025-09-30,Jeddah - Corniche,95,82,12
2025-09-30,Dammam - Waterfront,107,99,13
2025-10-01,Riyadh - Olaya,97,86,13
2025-10-01,Riyadh - Digital City,116,103,14
2025-10-01,Jeddah - Corniche,94,87,12
2025-10-01,Dammam - Waterfront,105,93,12
2025-10-02,Riyadh - Olaya,97,87,12
2025-10-02,Riyadh - Digital City,116,108,13
2025-10-02,Jeddah - Corniche,95,84,11
2025-10-02,Dammam - Waterfront,108,96,12
2025-10-03,Riyadh - Olaya,98,88,12
2025-10-03,Riyadh - Digital City,114,107,13
2025-10-03,Jeddah - Corniche,95,84,11
2025-10-03,Dammam - Waterfront,106,96,13
2025-10-04,Riyadh - Olaya,97,84,12
2025-10-04,Riyadh - Digital City,117,103,13
2025-10-04,Jeddah - Corniche,94,86,12
2025-10-04,Dammam - Waterfront,107,94,12
2025-10-05,Riyadh - Olaya,99,86,12
2025-10-05,Riyadh - Digital City,117,102,13
2025-10-05,Jeddah - Corniche,96,88,11
2025-10-05,Dammam - Waterfront,107,98,12
2025-10-06,Riyadh - Olaya,97,85,13
2025-10-06,Riyadh - Digital City,116,103,14
2025-10-06,Jeddah - Corniche,94,85,12
2025-10-06,Dammam - Waterfront,106,97,12
2025-10-07,Riyadh - Olaya,98,85,13
2025-10-07,Riyadh - Digital City,114,105,13
2025-10-07,Jeddah - Corniche,95,87,11
2025-10-07,Dammam - Waterfront,107,94,13
2025-10-08,Riyadh - Olaya,99,85,13
2025-10-08,Riyadh - Digital City,116,108,13
2025-10-08,Jeddah - Corniche,96,85,11
2025-10-08,Dammam - Waterfront,108,96,13
2025-10-09,Riyadh - Olaya,98,85,13
2025-10-09,Riyadh - Digital City,114,104,14
2025-10-09,Jeddah - Corniche,97,87,11
2025-10-09,Dammam - Waterfront,105,97,13
2025-10-10,Riyadh - Olaya,99,88,12
2025-10-10,Riyadh - Digital City,114,103,13
2025-10-10,Jeddah - Corniche,94,85,12
2025-10-10,Dammam - Waterfront,105,97,12
2025-10-11,Riyadh - Olaya,96,86,12
2025-10-11,Riyadh - Digital City,117,104,14
2025-10-11,Jeddah - Corniche,96,82,12
2025-10-11,Dammam - Waterfront,106,96,12
2025-10-12,Riyadh - Olaya,99,89,13
2025-10-12,Riyadh - Digital City,116,105,13
2025-10-12,Jeddah - Corniche,97,88,12
2025-10-12,Dammam - Waterfront,107,95,12
2025-10-13,Riyadh - Olaya,98,85,13
2025-10-13,Riyadh - Digital City,115,106,14
2025-10-13,Jeddah - Corniche,96,86,11
2025-10-13,Dammam - Waterfront,108,98,13
2025-10-14,Riyadh - Olaya,98,88,13
2025-10-14,Riyadh - Digital City,117,105,14
2025-10-14,Jeddah - Corniche,97,84,11
2025-10-14,Dammam - Waterfront,106,99,13
2025-10-15,Riyadh - Olaya,96,86,12
2025-10-15,Riyadh - Digital City,114,106,13
2025-10-15,Jeddah - Corniche,94,84,12
2025-10-15,Dammam - Waterfront,107,99,12
2025-10-16,Riyadh - Olaya,97,85,13
2025-10-16,Riyadh - Digital City,116,108,13
2025-10-16,Jeddah - Corniche,95,88,12
2025-10-16,Dammam - Waterfront,106,98,13
2025-10-17,Riyadh - Olaya,96,84,13
2025-10-17,Riyadh - Digital City,115,107,13
2025-10-17,Jeddah - Corniche,96,84,11
2025-10-17,Dammam - Waterfront,107,96,13
2025-10-18,Riyadh - Olaya,97,88,12
2025-10-18,Riyadh - Digital City,115,106,13
2025-10-18,Jeddah - Corniche,97,87,12
2025-10-18,Dammam - Waterfront,108,95,12
2025-10-19,Riyadh - Olaya,97,89,12
2025-10-19,Riyadh - Digital City,116,106,13
2025-10-19,Jeddah - Corniche,96,83,11
2025-10-19,Dammam - Waterfront,107,96,13
2025-10-20,Riyadh - Olaya,97,90,13
2025-10-20,Riyadh - Digital City,116,104,13
2025-10-20,Jeddah - Corniche,96,85,11
2025-10-20,Dammam - Waterfront,105,98,12
2025-10-21,Riyadh - Olaya,97,88,12
2025-10-21,Riyadh - Digital City,116,103,13
2025-10-21,Jeddah - Corniche,96,83,11
2025-10-21,Dammam - Waterfront,107,93,12
2025-10-22,Riyadh - Olaya,97,85,12
2025-10-22,Riyadh - Digital City,115,106,14
2025-10-22,Jeddah - Corniche,96,83,11
2025-10-22,Dammam - Waterfront,106,96,12
2025-10-23,Riyadh - Olaya,98,87,13
2025-10-23,Riyadh - Digital City,117,104,13
2025-10-23,Jeddah - Corniche,97,87,11
2025-10-23,Dammam - Waterfront,107,96,12
2025-10-24,Riyadh - Olaya,98,86,13
2025-10-24,Riyadh - Digital City,116,104,13
2025-10-24,Jeddah - Corniche,97,87,11
2025-10-24,Dammam - Waterfront,108,98,12
2025-10-25,Riyadh - Olaya,96,88,12
2025-10-25,Riyadh - Digital City,115,106,13
2025-10-25,Jeddah - Corniche,94,83,12
2025-10-25,Dammam - Waterfront,106,98,13
2025-10-26,Riyadh - Olaya,97,89,13
2025-10-26,Riyadh - Digital City,117,104,14
2025-10-26,Jeddah - Corniche,96,83,12
2025-10-26,Dammam - Waterfront,108,95,12
2025-10-27,Riyadh - Olaya,98,89,12
2025-10-27,Riyadh - Digital City,116,107,14
2025-10-27,Jeddah - Corniche,95,86,12
2025-10-27,Dammam - Waterfront,105,97,13
2025-10-28,Riyadh - Olaya,97,89,13
2025-10-28,Riyadh - Digital City,116,106,14
2025-10-28,Jeddah - Corniche,94,87,11
2025-10-28,Dammam - Waterfront,107,98,13
2025-10-29,Riyadh - Olaya,99,90,12
2025-10-29,Riyadh - Digital City,116,106,14
2025-10-29,Jeddah - Corniche,96,88,11
2025-10-29,Dammam - Waterfront,106,94,13
2025-10-30,Riyadh - Olaya,99,89,12
2025-10-30,Riyadh - Digital City,117,106,14
2025-10-30,Jeddah - Corniche,96,83,12
2025-10-30,Dammam - Waterfront,107,95,12
2025-10-31,Riyadh - Olaya,96,85,12
2025-10-31,Riyadh - Digital City,115,104,13
2025-10-31,Jeddah - Corniche,96,85,12
2025-10-31,Dammam - Waterfront,106,99,12
2025-11-01,Riyadh - Olaya,99,85,13
2025-11-01,Riyadh - Digital City,114,105,14
2025-11-01,Jeddah - Corniche,95,83,12
2025-11-01,Dammam - Waterfront,107,93,13
2025-11-02,Riyadh - Olaya,99,84,13
2025-11-02,Riyadh - Digital City,115,107,14
2025-11-02,Jeddah - Corniche,95,86,11
2025-11-02,Dammam - Waterfront,107,95,13
2025-11-03,Riyadh - Olaya,96,84,12
2025-11-03,Riyadh - Digital City,117,105,13
2025-11-03,Jeddah - Corniche,97,83,11
2025-11-03,Dammam - Waterfront,106,94,12
2025-11-04,Riyadh - Olaya,98,84,13
2025-11-04,Riyadh - Digital City,115,104,14
2025-11-04,Jeddah - Corniche,95,83,12
2025-11-04,Dammam - Waterfront,106,99,13
2025-11-05,Riyadh - Olaya,97,86,12
2025-11-05,Riyadh - Digital City,116,108,14
2025-11-05,Jeddah - Corniche,95,84,12
2025-11-05,Dammam - Waterfront,106,99,13
2025-11-06,Riyadh - Olaya,98,85,13
2025-11-06,Riyadh - Digital City,115,104,14
2025-11-06,Jeddah - Corniche,95,86,11
2025-11-06,Dammam - Waterfront,107,97,13
2025-11-07,Riyadh - Olaya,98,89,12
2025-11-07,Riyadh - Digital City,115,107,13
2025-11-07,Jeddah - Corniche,94,87,11
2025-11-07,Dammam - Waterfront,107,99,13
2025-11-08,Riyadh - Olaya,97,86,12
2025-11-08,Riyadh - Digital City,115,104,13
2025-11-08,Jeddah - Corniche,94,85,11
2025-11-08,Dammam - Waterfront,108,96,13
2025-11-09,Riyadh - Olaya,98,84,12
2025-11-09,Riyadh - Digital City,115,106,13
2025-11-09,Jeddah - Corniche,94,87,12
2025-11-09,Dammam - Waterfront,107,94,12
2025-11-10,Riyadh - Olaya,98,87,13
2025-11-10,Riyadh - Digital City,115,108,14
2025-11-10,Jeddah - Corniche,95,85,12
2025-11-10,Dammam - Waterfront,105,97,13
2025-11-11,Riyadh - Olaya,96,88,12
2025-11-11,Riyadh - Digital City,109,98,13
2025-11-11,Jeddah - Corniche,106,96,13
2025-11-11,Dammam - Waterfront,98,88,14
