visit_id,user_id,location,plan_type,check_in_dt,check_out_dt,hours_used,amount_sar,cost_sar,profit_sar
V2025-08-01-844288,U000270,Riyadh - Olaya,Standard,2025-08-01 09:02:00,2025-08-01 12:26:00,3.4,40.8,24.48,16.32
V2025-08-01-507896,U000216,Riyadh - Olaya,Flex,2025-08-01 09:23:00,2025-08-01 10:54:00,1.51,22.65,13.59,9.06
V2025-08-01-295486,U000256,Riyadh - Olaya,Standard,2025-08-01 12:57:00,2025-08-01 16:06:00,3.15,37.8,22.68,15.12
V2025-08-01-521990,U000442,Riyadh - Olaya,Standard,2025-08-01 11:02:00,2025-08-01 13:38:00,2.6,31.2,18.72,12.48
V2025-08-01-256652,U000140,Riyadh - Olaya,Flex,2025-08-01 16:39:00,2025-08-01 17:46:00,1.12,16.8,10.08,6.72
V2025-08-01-120710,U000448,Riyadh - Olaya,Enterprise,2025-08-01 09:31:00,2025-08-01 14:24:00,4.89,39.12,23.47,15.65
V2025-08-01-199217,U000674,Riyadh - Olaya,Flex,2025-08-01 13:56:00,2025-08-01 16:15:00,2.32,34.8,20.88,13.92
V2025-08-01-295486,U000256,Riyadh - Olaya,Standard,2025-08-01 12:32:00,2025-08-01 15:24:00,2.87,34.44,20.66,13.78
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:29:00,2025-08-01 12:25:00,2.94,29.4,17.64,11.76
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:30:00,2025-08-01 13:31:00,4.02,40.2,24.12,16.08
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:29:00,2025-08-01 19:00:00,4.52,36.16,21.7,14.46
V2025-08-01-507896,U000216,Riyadh - Olaya,Flex,2025-08-01 09:22:00,2025-08-01 10:33:00,1.18,17.7,10.62,7.08
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:55:00,2025-08-01 19:27:00,4.54,36.32,21.79,14.53
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:58:00,2025-08-01 13:41:00,3.72,37.2,22.32,14.88
V2025-08-01-120710,U000448,Riyadh - Olaya,Enterprise,2025-08-01 09:29:00,2025-08-01 14:12:00,4.71,37.68,22.61,15.07
V2025-08-01-160621,U000108,Riyadh - Olaya,Standard,2025-08-01 11:26:00,2025-08-01 14:07:00,2.68,32.16,19.3,12.86
V2025-08-01-507896,U000216,Riyadh - Olaya,Flex,2025-08-01 09:28:00,2025-08-01 10:52:00,1.4,21.0,12.6,8.4
V2025-08-01-256652,U000140,Riyadh - Olaya,Flex,2025-08-01 16:59:00,2025-08-01 18:29:00,1.5,22.5,13.5,9.0
V2025-08-01-120710,U000448,Riyadh - Olaya,Enterprise,2025-08-01 09:07:00,2025-08-01 14:10:00,5.05,40.4,24.24,16.16
V2025-08-01-160621,U000108,Riyadh - Olaya,Standard,2025-08-01 11:56:00,2025-08-01 14:47:00,2.85,34.2,20.52,13.68
V2025-08-01-607528,U000642,Riyadh - Olaya,Flex,2025-08-01 15:58:00,2025-08-01 17:17:00,1.32,19.8,11.88,7.92
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:20:00,2025-08-01 18:17:00,3.95,31.6,18.96,12.64
V2025-08-01-844288,U000270,Riyadh - Olaya,Standard,2025-08-01 09:26:00,2025-08-01 12:09:00,2.72,32.64,19.58,13.06
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:08:00,2025-08-01 12:52:00,3.73,37.3,22.38,14.92
V2025-08-01-661852,U000444,Riyadh - Olaya,Pro,2025-08-01 15:55:00,2025-08-01 19:05:00,3.17,31.7,19.02,12.68
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:42:00,2025-08-01 13:50:00,4.14,41.4,24.84,16.56
V2025-08-01-295486,U000256,Riyadh - Olaya,Standard,2025-08-01 12:40:00,2025-08-01 15:10:00,2.5,30.0,18.0,12.0
V2025-08-01-507896,U000216,Riyadh - Olaya,Flex,2025-08-01 09:56:00,2025-08-01 11:26:00,1.5,22.5,13.5,9.0
V2025-08-01-295486,U000256,Riyadh - Olaya,Standard,2025-08-01 12:03:00,2025-08-01 15:51:00,3.8,45.6,27.36,18.24
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:50:00,2025-08-01 19:43:00,4.89,39.12,23.47,15.65
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:44:00,2025-08-01 13:36:00,3.86,38.6,23.16,15.44
V2025-08-01-844288,U000270,Riyadh - Olaya,Standard,2025-08-01 09:30:00,2025-08-01 12:16:00,2.77,33.24,19.94,13.3
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:16:00,2025-08-01 13:53:00,2.61,31.32,18.79,12.53
V2025-08-01-785730,U000108,Riyadh - Digital City,Standard,2025-08-01 11:59:00,2025-08-01 14:39:00,2.67,32.04,19.22,12.82
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:20:00,2025-08-01 14:06:00,2.76,33.12,19.87,13.25
V2025-08-01-526814,U000270,Riyadh - Digital City,Standard,2025-08-01 09:57:00,2025-08-01 12:53:00,2.94,35.28,21.17,14.11
V2025-08-01-998086,U000256,Riyadh - Digital City,Standard,2025-08-01 12:10:00,2025-08-01 15:48:00,3.64,43.68,26.21,17.47
V2025-08-01-101878,U000485,Riyadh - Digital City,Pro,2025-08-01 09:04:00,2025-08-01 12:41:00,3.61,36.1,21.66,14.44
V2025-08-01-716435,U000444,Riyadh - Digital City,Pro,2025-08-01 15:34:00,2025-08-01 19:18:00,3.74,37.4,22.44,14.96
V2025-08-01-616161,U000140,Riyadh - Digital City,Flex,2025-08-01 16:56:00,2025-08-01 18:11:00,1.25,18.75,11.25,7.5
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:41:00,2025-08-01 14:26:00,2.75,33.0,19.8,13.2
V2025-08-01-052239,U000448,Riyadh - Digital City,Enterprise,2025-08-01 09:27:00,2025-08-01 13:47:00,4.33,34.64,20.78,13.86
V2025-08-01-998086,U000256,Riyadh - Digital City,Standard,2025-08-01 12:48:00,2025-08-01 16:23:00,3.59,43.08,25.85,17.23
V2025-08-01-716435,U000444,Riyadh - Digital City,Pro,2025-08-01 15:06:00,2025-08-01 18:46:00,3.67,36.7,22.02,14.68
V2025-08-01-101878,U000485,Riyadh - Digital City,Pro,2025-08-01 09:21:00,2025-08-01 13:32:00,4.18,41.8,25.08,16.72
V2025-08-01-716435,U000444,Riyadh - Digital City,Pro,2025-08-01 15:10:00,2025-08-01 18:59:00,3.81,38.1,22.86,15.24
V2025-08-01-052239,U000448,Riyadh - Digital City,Enterprise,2025-08-01 09:57:00,2025-08-01 13:43:00,3.77,30.16,18.1,12.06
V2025-08-01-547440,U000642,Riyadh - Digital City,Flex,2025-08-01 15:54:00,2025-08-01 17:09:00,1.25,18.75,11.25,7.5
V2025-08-01-998086,U000256,Riyadh - Digital City,Standard,2025-08-01 12:14:00,2025-08-01 15:17:00,3.05,36.6,21.96,14.64
V2025-08-01-616161,U000140,Riyadh - Digital City,Flex,2025-08-01 16:34:00,2025-08-01 17:44:00,1.16,17.4,10.44,6.96
V2025-08-01-547440,U000642,Riyadh - Digital City,Flex,2025-08-01 15:55:00,2025-08-01 17:44:00,1.81,27.15,16.29,10.86
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:54:00,2025-08-01 14:46:00,2.86,34.32,20.59,13.73
V2025-08-01-616161,U000140,Riyadh - Digital City,Flex,2025-08-01 16:51:00,2025-08-01 18:42:00,1.85,27.75,16.65,11.1
V2025-08-01-971235,U000182,Riyadh - Digital City,Enterprise,2025-08-01 14:22:00,2025-08-01 18:44:00,4.36,34.88,20.93,13.95
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:33:00,2025-08-01 14:12:00,2.65,31.8,19.08,12.72
V2025-08-01-526814,U000270,Riyadh - Digital City,Standard,2025-08-01 09:03:00,2025-08-01 12:05:00,3.04,36.48,21.89,14.59
V2025-08-01-586645,U000216,Riyadh - Digital City,Flex,2025-08-01 09:24:00,2025-08-01 11:26:00,2.03,30.45,18.27,12.18
V2025-08-01-101878,U000485,Riyadh - Digital City,Pro,2025-08-01 09:54:00,2025-08-01 13:22:00,3.47,34.7,20.82,13.88
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:32:00,2025-08-01 14:42:00,3.17,38.04,22.82,15.22
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:51:00,2025-08-01 14:31:00,2.67,32.04,19.22,12.82
V2025-08-01-440549,U000674,Riyadh - Digital City,Flex,2025-08-01 13:57:00,2025-08-01 15:41:00,1.73,25.95,15.57,10.38
V2025-08-01-971235,U000182,Riyadh - Digital City,Enterprise,2025-08-01 14:30:00,2025-08-01 18:52:00,4.37,34.96,20.98,13.98
V2025-08-01-526814,U000270,Riyadh - Digital City,Standard,2025-08-01 09:13:00,2025-08-01 12:23:00,3.16,37.92,22.75,15.17
V2025-08-01-586645,U000216,Riyadh - Digital City,Flex,2025-08-01 09:11:00,2025-08-01 10:46:00,1.58,23.7,14.22,9.48
V2025-08-01-052239,U000448,Riyadh - Digital City,Enterprise,2025-08-01 09:29:00,2025-08-01 13:35:00,4.1,32.8,19.68,13.12
V2025-08-01-971235,U000182,Riyadh - Digital City,Enterprise,2025-08-01 14:49:00,2025-08-01 19:45:00,4.93,39.44,23.66,15.78
V2025-08-01-998086,U000256,Riyadh - Digital City,Standard,2025-08-01 12:28:00,2025-08-01 15:17:00,2.81,33.72,20.23,13.49
V2025-08-01-101878,U000485,Riyadh - Digital City,Pro,2025-08-01 09:41:00,2025-08-01 14:25:00,4.73,47.3,28.38,18.92
V2025-08-01-101878,U000485,Riyadh - Digital City,Pro,2025-08-01 09:32:00,2025-08-01 13:06:00,3.56,35.6,21.36,14.24
V2025-08-01-716435,U000444,Riyadh - Digital City,Pro,2025-08-01 15:45:00,2025-08-01 19:29:00,3.74,37.4,22.44,14.96
V2025-08-01-586645,U000216,Riyadh - Digital City,Flex,2025-08-01 09:55:00,2025-08-01 11:45:00,1.84,27.6,16.56,11.04
V2025-08-01-526814,U000270,Riyadh - Digital City,Standard,2025-08-01 09:36:00,2025-08-01 12:26:00,2.84,34.08,20.45,13.63
V2025-08-01-998086,U000256,Riyadh - Digital City,Standard,2025-08-01 12:37:00,2025-08-01 14:46:00,2.15,25.8,15.48,10.32
V2025-08-01-526814,U000270,Riyadh - Digital City,Standard,2025-08-01 09:23:00,2025-08-01 12:37:00,3.23,38.76,23.26,15.5
V2025-08-01-616161,U000140,Riyadh - Digital City,Flex,2025-08-01 16:00:00,2025-08-01 17:16:00,1.26,18.9,11.34,7.56
V2025-08-01-716435,U000444,Riyadh - Digital City,Pro,2025-08-01 15:21:00,2025-08-01 18:49:00,3.47,34.7,20.82,13.88
V2025-08-01-547440,U000642,Riyadh - Digital City,Flex,2025-08-01 15:33:00,2025-08-01 17:10:00,1.61,24.15,14.49,9.66
V2025-08-01-971235,U000182,Riyadh - Digital City,Enterprise,2025-08-01 14:10:00,2025-08-01 18:02:00,3.87,30.96,18.58,12.38
V2025-08-01-616161,U000140,Riyadh - Digital City,Flex,2025-08-01 16:22:00,2025-08-01 17:50:00,1.46,21.9,13.14,8.76
V2025-08-01-547440,U000642,Riyadh - Digital City,Flex,2025-08-01 15:57:00,2025-08-01 17:12:00,1.25,18.75,11.25,7.5
V2025-08-01-616161,U000140,Riyadh - Digital City,Flex,2025-08-01 16:39:00,2025-08-01 18:26:00,1.79,26.85,16.11,10.74
V2025-08-01-971235,U000182,Riyadh - Digital City,Enterprise,2025-08-01 14:50:00,2025-08-01 19:46:00,4.93,39.44,23.66,15.78
V2025-08-01-971235,U000182,Riyadh - Digital City,Enterprise,2025-08-01 14:28:00,2025-08-01 18:34:00,4.1,32.8,19.68,13.12
V2025-08-01-052239,U000448,Riyadh - Digital City,Enterprise,2025-08-01 09:17:00,2025-08-01 13:42:00,4.42,35.36,21.22,14.14
V2025-08-01-798049,U000442,Riyadh - Digital City,Standard,2025-08-01 11:39:00,2025-08-01 15:13:00,3.57,42.84,25.7,17.14
V2025-08-01-526814,U000270,Riyadh - Digital City,Standard,2025-08-01 09:22:00,2025-08-01 13:12:00,3.83,45.96,27.58,18.38
V2025-08-01-757209,U000140,Jeddah - Corniche,Flex,2025-08-01 16:47:00,2025-08-01 17:45:00,0.96,14.4,8.64,5.76
V2025-08-01-816634,U000674,Jeddah - Corniche,Flex,2025-08-01 13:51:00,2025-08-01 15:22:00,1.51,22.65,13.59,9.06
V2025-08-01-872891,U000256,Jeddah - Corniche,Standard,2025-08-01 12:08:00,2025-08-01 14:30:00,2.37,28.44,17.06,11.38
V2025-08-01-911752,U000642,Jeddah - Corniche,Flex,2025-08-01 15:47:00,2025-08-01 17:07:00,1.34,20.1,12.06,8.04
V2025-08-01-056484,U000444,Jeddah - Corniche,Pro,2025-08-01 15:06:00,2025-08-01 19:07:00,4.01,40.1,24.06,16.04
V2025-08-01-911752,U000642,Jeddah - Corniche,Flex,2025-08-01 15:09:00,2025-08-01 16:49:00,1.67,25.05,15.03,10.02
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:40:00,2025-08-01 13:30:00,3.83,38.3,22.98,15.32
V2025-08-01-132010,U000442,Jeddah - Corniche,Standard,2025-08-01 11:08:00,2025-08-01 13:37:00,2.48,29.76,17.86,11.9
V2025-08-01-737731,U000182,Jeddah - Corniche,Enterprise,2025-08-01 14:47:00,2025-08-01 18:57:00,4.16,33.28,19.97,13.31
V2025-08-01-737731,U000182,Jeddah - Corniche,Enterprise,2025-08-01 14:04:00,2025-08-01 18:12:00,4.13,33.04,19.82,13.22
V2025-08-01-872891,U000256,Jeddah - Corniche,Standard,2025-08-01 12:48:00,2025-08-01 15:50:00,3.03,36.36,21.82,14.54
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:52:00,2025-08-01 13:54:00,4.04,40.4,24.24,16.16
V2025-08-01-737731,U000182,Jeddah - Corniche,Enterprise,2025-08-01 14:15:00,2025-08-01 18:40:00,4.42,35.36,21.22,14.14
V2025-08-01-737731,U000182,Jeddah - Corniche,Enterprise,2025-08-01 14:26:00,2025-08-01 19:13:00,4.78,38.24,22.94,15.3
V2025-08-01-872891,U000256,Jeddah - Corniche,Standard,2025-08-01 12:01:00,2025-08-01 14:24:00,2.39,28.68,17.21,11.47
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:21:00,2025-08-01 13:06:00,3.75,37.5,22.5,15.0
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:40:00,2025-08-01 13:35:00,3.92,39.2,23.52,15.68
V2025-08-01-355535,U000108,Jeddah - Corniche,Standard,2025-08-01 11:09:00,2025-08-01 13:58:00,2.82,33.84,20.3,13.54
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:32:00,2025-08-01 12:22:00,2.84,28.4,17.04,11.36
V2025-08-01-642880,U000448,Jeddah - Corniche,Enterprise,2025-08-01 09:15:00,2025-08-01 14:23:00,5.13,41.04,24.62,16.42
V2025-08-01-132010,U000442,Jeddah - Corniche,Standard,2025-08-01 11:49:00,2025-08-01 14:54:00,3.09,37.08,22.25,14.83
V2025-08-01-861819,U000216,Jeddah - Corniche,Flex,2025-08-01 09:42:00,2025-08-01 12:02:00,2.34,35.1,21.06,14.04
V2025-08-01-830833,U000270,Jeddah - Corniche,Standard,2025-08-01 09:37:00,2025-08-01 12:24:00,2.79,33.48,20.09,13.39
V2025-08-01-355535,U000108,Jeddah - Corniche,Standard,2025-08-01 11:43:00,2025-08-01 14:38:00,2.92,35.04,21.02,14.02
V2025-08-01-056484,U000444,Jeddah - Corniche,Pro,2025-08-01 15:25:00,2025-08-01 19:35:00,4.17,41.7,25.02,16.68
V2025-08-01-757209,U000140,Jeddah - Corniche,Flex,2025-08-01 16:04:00,2025-08-01 17:54:00,1.84,27.6,16.56,11.04
V2025-08-01-056484,U000444,Jeddah - Corniche,Pro,2025-08-01 15:32:00,2025-08-01 18:34:00,3.04,30.4,18.24,12.16
V2025-08-01-132010,U000442,Jeddah - Corniche,Standard,2025-08-01 11:51:00,2025-08-01 15:14:00,3.39,40.68,24.41,16.27
V2025-08-01-056484,U000444,Jeddah - Corniche,Pro,2025-08-01 15:32:00,2025-08-01 19:11:00,3.65,36.5,21.9,14.6
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:07:00,2025-08-01 13:19:00,4.2,42.0,25.2,16.8
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:44:00,2025-08-01 13:38:00,3.9,39.0,23.4,15.6
V2025-08-01-482215,U000485,Jeddah - Corniche,Pro,2025-08-01 09:58:00,2025-08-01 13:45:00,3.78,37.8,22.68,15.12
V2025-08-01-132010,U000442,Jeddah - Corniche,Standard,2025-08-01 11:47:00,2025-08-01 14:45:00,2.96,35.52,21.31,14.21
V2025-08-01-911752,U000642,Jeddah - Corniche,Flex,2025-08-01 15:43:00,2025-08-01 17:29:00,1.76,26.4,15.84,10.56
V2025-08-01-737731,U000182,Jeddah - Corniche,Enterprise,2025-08-01 14:45:00,2025-08-01 19:36:00,4.85,38.8,23.28,15.52
V2025-08-01-132010,U000442,Jeddah - Corniche,Standard,2025-08-01 11:40:00,2025-08-01 14:36:00,2.94,35.28,21.17,14.11
V2025-08-01-642880,U000448,Jeddah - Corniche,Enterprise,2025-08-01 09:07:00,2025-08-01 14:03:00,4.94,39.52,23.71,15.81
V2025-08-01-737731,U000182,Jeddah - Corniche,Enterprise,2025-08-01 14:09:00,2025-08-01 18:59:00,4.84,38.72,23.23,15.49
V2025-08-01-056484,U000444,Jeddah - Corniche,Pro,2025-08-01 15:46:00,2025-08-01 19:54:00,4.13,41.3,24.78,16.52
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:50:00,2025-08-01 15:10:00,3.34,40.08,24.05,16.03
V2025-08-01-434047,U000448,Dammam - Waterfront,Enterprise,2025-08-01 09:55:00,2025-08-01 14:24:00,4.48,35.84,21.5,14.34
V2025-08-01-365452,U000182,Dammam - Waterfront,Enterprise,2025-08-01 14:48:00,2025-08-01 19:04:00,4.26,34.08,20.45,13.63
V2025-08-01-365452,U000182,Dammam - Waterfront,Enterprise,2025-08-01 14:13:00,2025-08-01 19:06:00,4.89,39.12,23.47,15.65
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:32:00,2025-08-01 14:55:00,3.39,40.68,24.41,16.27
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:17:00,2025-08-01 14:09:00,0.87,13.05,7.83,5.22
V2025-08-01-365452,U000182,Dammam - Waterfront,Enterprise,2025-08-01 14:35:00,2025-08-01 18:10:00,3.59,28.72,17.23,11.49
V2025-08-01-434047,U000448,Dammam - Waterfront,Enterprise,2025-08-01 09:47:00,2025-08-01 14:40:00,4.88,39.04,23.42,15.62
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:09:00,2025-08-01 14:21:00,3.2,38.4,23.04,15.36
V2025-08-01-376272,U000444,Dammam - Waterfront,Pro,2025-08-01 15:12:00,2025-08-01 19:32:00,4.33,43.3,25.98,17.32
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:42:00,2025-08-01 15:44:00,2.04,30.6,18.36,12.24
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:56:00,2025-08-01 15:31:00,1.59,23.85,14.31,9.54
V2025-08-01-582087,U000642,Dammam - Waterfront,Flex,2025-08-01 15:48:00,2025-08-01 18:08:00,2.34,35.1,21.06,14.04
V2025-08-01-386405,U000442,Dammam - Waterfront,Standard,2025-08-01 11:47:00,2025-08-01 14:20:00,2.55,30.6,18.36,12.24
V2025-08-01-376272,U000444,Dammam - Waterfront,Pro,2025-08-01 15:02:00,2025-08-01 18:55:00,3.88,38.8,23.28,15.52
V2025-08-01-434047,U000448,Dammam - Waterfront,Enterprise,2025-08-01 09:48:00,2025-08-01 14:43:00,4.92,39.36,23.62,15.74
V2025-08-01-434047,U000448,Dammam - Waterfront,Enterprise,2025-08-01 09:09:00,2025-08-01 13:43:00,4.57,36.56,21.94,14.62
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:43:00,2025-08-01 15:44:00,2.01,30.15,18.09,12.06
V2025-08-01-386405,U000442,Dammam - Waterfront,Standard,2025-08-01 11:06:00,2025-08-01 14:28:00,3.36,40.32,24.19,16.13
V2025-08-01-376272,U000444,Dammam - Waterfront,Pro,2025-08-01 15:10:00,2025-08-01 18:33:00,3.38,33.8,20.28,13.52
V2025-08-01-434047,U000448,Dammam - Waterfront,Enterprise,2025-08-01 09:42:00,2025-08-01 14:03:00,4.35,34.8,20.88,13.92
V2025-08-01-386405,U000442,Dammam - Waterfront,Standard,2025-08-01 11:02:00,2025-08-01 13:45:00,2.72,32.64,19.58,13.06
V2025-08-01-930969,U000216,Dammam - Waterfront,Flex,2025-08-01 09:27:00,2025-08-01 11:07:00,1.66,24.9,14.94,9.96
V2025-08-01-930969,U000216,Dammam - Waterfront,Flex,2025-08-01 09:16:00,2025-08-01 10:58:00,1.7,25.5,15.3,10.2
V2025-08-01-461870,U000485,Dammam - Waterfront,Pro,2025-08-01 09:58:00,2025-08-01 13:10:00,3.2,32.0,19.2,12.8
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:06:00,2025-08-01 14:49:00,1.72,25.8,15.48,10.32
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:12:00,2025-08-01 14:27:00,3.25,39.0,23.4,15.6
V2025-08-01-386405,U000442,Dammam - Waterfront,Standard,2025-08-01 11:51:00,2025-08-01 15:07:00,3.27,39.24,23.54,15.7
V2025-08-01-461870,U000485,Dammam - Waterfront,Pro,2025-08-01 09:47:00,2025-08-01 13:22:00,3.58,35.8,21.48,14.32
V2025-08-01-376272,U000444,Dammam - Waterfront,Pro,2025-08-01 15:53:00,2025-08-01 20:40:00,4.78,47.8,28.68,19.12
V2025-08-01-461870,U000485,Dammam - Waterfront,Pro,2025-08-01 09:44:00,2025-08-01 13:39:00,3.92,39.2,23.52,15.68
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:06:00,2025-08-01 14:31:00,3.41,40.92,24.55,16.37
V2025-08-01-817578,U000270,Dammam - Waterfront,Standard,2025-08-01 09:57:00,2025-08-01 12:35:00,2.64,31.68,19.01,12.67
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:03:00,2025-08-01 14:47:00,1.73,25.95,15.57,10.38
V2025-08-01-386405,U000442,Dammam - Waterfront,Standard,2025-08-01 11:12:00,2025-08-01 14:45:00,3.55,42.6,25.56,17.04
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:28:00,2025-08-01 13:44:00,2.26,27.12,16.27,10.85
V2025-08-01-097636,U000674,Dammam - Waterfront,Flex,2025-08-01 13:08:00,2025-08-01 14:28:00,1.34,20.1,12.06,8.04
V2025-08-01-945443,U000140,Dammam - Waterfront,Flex,2025-08-01 16:47:00,2025-08-01 18:42:00,1.92,28.8,17.28,11.52
V2025-08-01-930969,U000216,Dammam - Waterfront,Flex,2025-08-01 09:55:00,2025-08-01 11:56:00,2.01,30.15,18.09,12.06
V2025-08-01-365452,U000182,Dammam - Waterfront,Enterprise,2025-08-01 14:20:00,2025-08-01 18:57:00,4.61,36.88,22.13,14.75
V2025-08-01-500710,U000256,Dammam - Waterfront,Standard,2025-08-01 12:37:00,2025-08-01 14:46:00,2.15,25.8,15.48,10.32
V2025-08-01-690312,U000108,Dammam - Waterfront,Standard,2025-08-01 11:48:00,2025-08-01 15:16:00,3.47,41.64,24.98,16.66
V2025-08-01-930969,U000216,Dammam - Waterfront,Flex,2025-08-01 09:37:00,2025-08-01 11:29:00,1.87,28.05,16.83,11.22
V2025-08-01-434047,U000448,Dammam - Waterfront,Enterprise,2025-08-01 09:04:00,2025-08-01 13:30:00,4.44,35.52,21.31,14.21
V2025-08-01-365452,U000182,Dammam - Waterfront,Enterprise,2025-08-01 14:50:00,2025-08-01 19:34:00,4.74,37.92,22.75,15.17
V2025-08-02-994638,U000256,Riyadh - Olaya,Standard,2025-08-02 11:19:00,2025-08-02 14:12:00,2.88,34.56,20.74,13.82
V2025-08-02-124294,U000211,Riyadh - Olaya,Flex,2025-08-02 13:12:00,2025-08-02 15:03:00,1.85,27.75,16.65,11.1
V2025-08-02-782962,U000057,Riyadh - Olaya,Enterprise,2025-08-02 15:36:00,2025-08-02 20:02:00,4.44,35.52,21.31,14.21
